Year,Week #,Ending,HHS Region 1,HHS Region 2,HHS Region 3,HHS Region 4,HHS Region 5,HHS Region 6,HHS Region 7,HHS Region 8,HHS Region 9,HHS Region 10,MA,MS,NC,RI,TX,TN,MS District 1,MS District 2,MS District 3,MS District 4,MS District 5,MS District 6,MS District 7,MS District 8,MS District 9,TN District 9 (Hamilton County (Chattanooga)),TN District 11 (East Tennessee Region),TN District 3 (Jackson-Madison County),TN District 10 (Knoxville-Knox County),TN District 4 (Mid-Cumberland Region),TN District 1 (Shelby County (Memphis)),TN District 5 (Nashville-Davidson County),TN District 12 (Northeast Region),TN District 6 (South Central Region),TN District 8 (Southeast Region),TN District 13 (Sullivan County (Tri-Cities)),TN District 7 (Upper Cumberland Region),TN District 2 (West Tennessee Region)
2013,32,8/10/2013,0.53%,0.92%,0.65%,0.54%,0.71%,1.21%,0.86%,0.66%,1.00%,0.22%,0.59%,NaN,NaN,NaN,2.32%,0.01%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.50%,0.00%,0.00%,0.00%,0.00%,0.00%
2013,33,8/17/2013,0.45%,0.79%,0.75%,0.60%,0.88%,1.32%,0.66%,0.57%,0.98%,0.17%,0.45%,NaN,NaN,NaN,2.79%,0.05%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,0.70%,0.00%,0.00%,0.20%,0.00%,0.00%,0.00%
2013,34,8/24/2013,0.45%,0.86%,0.72%,0.77%,0.77%,1.41%,0.56%,0.54%,0.85%,0.16%,0.53%,NaN,NaN,NaN,2.68%,0.10%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00%,0.00%,1.00%,0.00%,0.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.50%,0.00%
2013,35,8/31/2013,0.41%,0.82%,0.78%,0.85%,0.84%,1.71%,0.22%,0.98%,1.19%,0.16%,0.38%,NaN,NaN,NaN,3.32%,0.15%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00%,0.00%,0.90%,0.20%,0.10%,0.20%,0.00%,0.00%,0.60%,0.00%,0.00%,0.50%,0.30%
2013,36,9/7/2013,0.35%,0.81%,0.95%,0.87%,0.94%,2.14%,0.78%,0.80%,1.30%,0.16%,0.26%,NaN,NaN,NaN,4.38%,0.05%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00%,0.00%,0.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2013,37,9/14/2013,0.40%,0.86%,1.13%,0.90%,1.04%,2.26%,0.92%,0.43%,1.32%,0.26%,0.43%,NaN,NaN,NaN,4.15%,0.17%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00%,0.20%,0.60%,0.10%,0.80%,0.00%,0.20%,0.00%,0.50%,0.00%,0.00%,0.00%,0.00%
2013,38,9/21/2013,0.47%,1.23%,1.22%,0.85%,1.13%,2.37%,0.83%,0.46%,1.35%,0.32%,0.53%,NaN,NaN,NaN,4.49%,0.18%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00%,0.10%,1.20%,0.10%,0.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.30%
2013,39,9/28/2013,0.61%,1.42%,1.23%,1.02%,1.13%,2.58%,0.36%,0.65%,1.61%,0.34%,0.50%,2.60%,NaN,NaN,4.63%,0.30%,1.80%,1.50%,6.20%,2.40%,0.30%,9.60%,2.40%,1.10%,3.10%,0.00%,0.20%,2.00%,0.20%,0.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.40%,0.30%
2013,40,10/5/2013,0.62%,1.43%,1.09%,1.02%,1.14%,2.10%,0.34%,0.76%,1.11%,0.47%,0.62%,3.10%,0.35%,0.09%,3.69%,0.31%,1.60%,2.30%,5.70%,2.70%,0.30%,10.30%,2.20%,2.30%,4.00%,0.00%,0.40%,0.70%,0.40%,0.80%,0.00%,0.90%,0.00%,0.50%,0.00%,0.00%,0.00%,0.30%
2013,41,10/12/2013,0.64%,1.35%,1.17%,1.09%,1.24%,2.22%,0.44%,0.85%,1.34%,0.45%,0.70%,2.90%,0.86%,0.11%,3.77%,0.21%,1.20%,4.20%,4.40%,2.00%,0.50%,8.40%,2.70%,2.20%,4.30%,0.00%,0.20%,1.20%,0.20%,0.50%,0.00%,0.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.30%
