tweets_t0,tweets_t1,tweets_t2,tweets_t3,tweets_t4,vaccs_t0,vaccs_t1,vaccs_t2,vaccs_t3,vaccs_t4,ili_t0,ili_t1,ili_t2,ili_t3,ili_t4
31.0,22.0,27.0,25.0,30.0,0.832861865144,12.7998398959,50.6214918818,116.674990333,178.344711389,,,,,
22.0,27.0,25.0,30.0,58.0,12.7998398959,50.6214918818,116.674990333,178.344711389,283.725105123,,,,,
27.0,25.0,30.0,58.0,64.0,50.6214918818,116.674990333,178.344711389,283.725105123,424.894017585,,,,,260.0
25.0,30.0,58.0,64.0,89.0,116.674990333,178.344711389,283.725105123,424.894017585,513.760795942,,,,260.0,310.0
30.0,58.0,64.0,89.0,137.0,178.344711389,283.725105123,424.894017585,513.760795942,492.600186975,,,260.0,310.0,290.0
58.0,64.0,89.0,137.0,95.0,283.725105123,424.894017585,513.760795942,492.600186975,511.882067946,,260.0,310.0,290.0,-1000000000.0
64.0,89.0,137.0,95.0,134.0,424.894017585,513.760795942,492.600186975,511.882067946,392.966278994,260.0,310.0,290.0,-1000000000.0,-1000000000.0
89.0,137.0,95.0,134.0,138.0,513.760795942,492.600186975,511.882067946,392.966278994,336.110362934,310.0,290.0,-1000000000.0,-1000000000.0,-1000000000.0
137.0,95.0,134.0,138.0,120.0,492.600186975,511.882067946,392.966278994,336.110362934,246.466006595,290.0,-1000000000.0,-1000000000.0,-1000000000.0,-1000000000.0
95.0,134.0,138.0,120.0,130.0,511.882067946,392.966278994,336.110362934,246.466006595,180.022070404,-1000000000.0,-1000000000.0,-1000000000.0,-1000000000.0,530.0
134.0,138.0,120.0,130.0,131.0,392.966278994,336.110362934,246.466006595,180.022070404,73.5159099076,-1000000000.0,-1000000000.0,-1000000000.0,530.0,500.0
138.0,120.0,130.0,131.0,134.0,336.110362934,246.466006595,180.022070404,73.5159099076,109.46950573,-1000000000.0,-1000000000.0,530.0,500.0,620.0
120.0,130.0,131.0,134.0,139.0,246.466006595,180.022070404,73.5159099076,109.46950573,82.9116367006,-1000000000.0,530.0,500.0,620.0,600.0
130.0,131.0,134.0,139.0,157.0,180.022070404,73.5159099076,109.46950573,82.9116367006,70.0538345777,530.0,500.0,620.0,600.0,660.0
131.0,134.0,139.0,157.0,195.0,73.5159099076,109.46950573,82.9116367006,70.0538345777,27.338473356,500.0,620.0,600.0,660.0,770.0
