tweets_t0,tweets_t1,tweets_t2,tweets_t3,tweets_t4,vaccs_t0,vaccs_t1,vaccs_t2,vaccs_t3,vaccs_t4,ili_t0,ili_t1,ili_t2,ili_t3,ili_t4
159.0,163.0,150.0,241.0,278.0,9.18542737265,35.6333695774,119.25353071,256.103964759,388.806393527,,,,,
163.0,150.0,241.0,278.0,358.0,35.6333695774,119.25353071,256.103964759,388.806393527,497.086017788,,,,,
150.0,241.0,278.0,358.0,500.0,119.25353071,256.103964759,388.806393527,497.086017788,625.288567079,,,,,
241.0,278.0,358.0,500.0,483.0,256.103964759,388.806393527,497.086017788,625.288567079,644.110936964,,,,,35.0
278.0,358.0,500.0,483.0,533.0,388.806393527,497.086017788,625.288567079,644.110936964,589.623888202,,,,35.0,86.0
358.0,500.0,483.0,533.0,534.0,497.086017788,625.288567079,644.110936964,589.623888202,490.306049353,,,35.0,86.0,-1000000000.0
500.0,483.0,533.0,534.0,637.0,625.288567079,644.110936964,589.623888202,490.306049353,391.309862444,,35.0,86.0,-1000000000.0,-1000000000.0
483.0,533.0,534.0,637.0,525.0,644.110936964,589.623888202,490.306049353,391.309862444,299.280687449,35.0,86.0,-1000000000.0,-1000000000.0,-1000000000.0
533.0,534.0,637.0,525.0,433.0,589.623888202,490.306049353,391.309862444,299.280687449,232.308131784,86.0,-1000000000.0,-1000000000.0,-1000000000.0,-1000000000.0
534.0,637.0,525.0,433.0,489.0,490.306049353,391.309862444,299.280687449,232.308131784,184.108540559,-1000000000.0,-1000000000.0,-1000000000.0,-1000000000.0,99.0
637.0,525.0,433.0,489.0,381.0,391.309862444,299.280687449,232.308131784,184.108540559,76.0684647619,-1000000000.0,-1000000000.0,-1000000000.0,99.0,87.0
525.0,433.0,489.0,381.0,342.0,299.280687449,232.308131784,184.108540559,76.0684647619,126.32256323,-1000000000.0,-1000000000.0,99.0,87.0,145.0
433.0,489.0,381.0,342.0,674.0,232.308131784,184.108540559,76.0684647619,126.32256323,95.1571998311,-1000000000.0,99.0,87.0,145.0,123.0
489.0,381.0,342.0,674.0,611.0,184.108540559,76.0684647619,126.32256323,95.1571998311,69.9796791167,99.0,87.0,145.0,123.0,147.0
381.0,342.0,674.0,611.0,646.0,76.0684647619,126.32256323,95.1571998311,69.9796791167,24.5661195137,87.0,145.0,123.0,147.0,207.0
342.0,674.0,611.0,646.0,607.0,126.32256323,95.1571998311,69.9796791167,24.5661195137,62.378378994,145.0,123.0,147.0,207.0,474.0
674.0,611.0,646.0,607.0,1196.0,95.1571998311,69.9796791167,24.5661195137,62.378378994,69.7402022155,123.0,147.0,207.0,474.0,391.0
611.0,646.0,607.0,1196.0,1292.0,69.9796791167,24.5661195137,62.378378994,69.7402022155,54.5966668712,147.0,207.0,474.0,391.0,270.0
646.0,607.0,1196.0,1292.0,1021.0,24.5661195137,62.378378994,69.7402022155,54.5966668712,35.0420202865,207.0,474.0,391.0,270.0,325.0
607.0,1196.0,1292.0,1021.0,1016.0,62.378378994,69.7402022155,54.5966668712,35.0420202865,16.9794082189,474.0,391.0,270.0,325.0,-1000000000.0
1196.0,1292.0,1021.0,1016.0,779.0,69.7402022155,54.5966668712,35.0420202865,16.9794082189,15.9394272521,391.0,270.0,325.0,-1000000000.0,-1000000000.0
1292.0,1021.0,1016.0,779.0,590.0,54.5966668712,35.0420202865,16.9794082189,15.9394272521,6.44549711348,270.0,325.0,-1000000000.0,-1000000000.0,-1000000000.0
1021.0,1016.0,779.0,590.0,436.0,35.0420202865,16.9794082189,15.9394272521,6.44549711348,7.84884789846,325.0,-1000000000.0,-1000000000.0,-1000000000.0,-1000000000.0
1016.0,779.0,590.0,436.0,577.0,16.9794082189,15.9394272521,6.44549711348,7.84884789846,6.67217439877,-1000000000.0,-1000000000.0,-1000000000.0,-1000000000.0,143.0
779.0,590.0,436.0,577.0,415.0,15.9394272521,6.44549711348,7.84884789846,6.67217439877,3.5372701937,-1000000000.0,-1000000000.0,-1000000000.0,143.0,144.0
590.0,436.0,577.0,415.0,346.0,6.44549711348,7.84884789846,6.67217439877,3.5372701937,2.46646173685,-1000000000.0,-1000000000.0,143.0,144.0,132.0
436.0,577.0,415.0,346.0,265.0,7.84884789846,6.67217439877,3.5372701937,2.46646173685,1.85442280783,-1000000000.0,143.0,144.0,132.0,114.0
577.0,415.0,346.0,265.0,322.0,6.67217439877,3.5372701937,2.46646173685,1.85442280783,1.35336918942,143.0,144.0,132.0,114.0,114.0
415.0,346.0,265.0,322.0,248.0,3.5372701937,2.46646173685,1.85442280783,1.35336918942,0.565335372936,144.0,132.0,114.0,114.0,96.0
346.0,265.0,322.0,248.0,252.0,2.46646173685,1.85442280783,1.35336918942,0.565335372936,0.418129588438,132.0,114.0,114.0,96.0,93.0
265.0,322.0,248.0,252.0,528.0,1.85442280783,1.35336918942,0.565335372936,0.418129588438,0.238437014056,114.0,114.0,96.0,93.0,102.0
322.0,248.0,252.0,528.0,240.0,1.35336918942,0.565335372936,0.418129588438,0.238437014056,0.215000700139,114.0,96.0,93.0,102.0,139.0
248.0,252.0,528.0,240.0,227.0,0.565335372936,0.418129588438,0.238437014056,0.215000700139,0.170916807642,96.0,93.0,102.0,139.0,-1000000000.0
252.0,528.0,240.0,227.0,181.0,0.418129588438,0.238437014056,0.215000700139,0.170916807642,0.137423493172,93.0,102.0,139.0,-1000000000.0,-1000000000.0
528.0,240.0,227.0,181.0,177.0,0.238437014056,0.215000700139,0.170916807642,0.137423493172,0.0949453383903,102.0,139.0,-1000000000.0,-1000000000.0,-1000000000.0
240.0,227.0,181.0,177.0,138.0,0.215000700139,0.170916807642,0.137423493172,0.0949453383903,0.115846336034,139.0,-1000000000.0,-1000000000.0,-1000000000.0,63.0
227.0,181.0,177.0,138.0,120.0,0.170916807642,0.137423493172,0.0949453383903,0.115846336034,0.0394511188406,-1000000000.0,-1000000000.0,-1000000000.0,63.0,
181.0,177.0,138.0,120.0,118.0,0.137423493172,0.0949453383903,0.115846336034,0.0394511188406,0.0,-1000000000.0,-1000000000.0,63.0,,
177.0,138.0,120.0,118.0,418.0,0.0949453383903,0.115846336034,0.0394511188406,0.0,0.0,-1000000000.0,63.0,,,
138.0,120.0,118.0,418.0,150.0,0.115846336034,0.0394511188406,0.0,0.0,0.0,63.0,,,,
120.0,118.0,418.0,150.0,110.0,0.0394511188406,0.0,0.0,0.0,0.0,,,,,
118.0,418.0,150.0,110.0,105.0,0.0,0.0,0.0,0.0,0.0,,,,,
418.0,150.0,110.0,105.0,152.0,0.0,0.0,0.0,0.0,0.0,,,,,
150.0,110.0,105.0,152.0,109.0,0.0,0.0,0.0,0.0,0.0,,,,,
110.0,105.0,152.0,109.0,94.0,0.0,0.0,0.0,0.0,0.0,,,,,
105.0,152.0,109.0,94.0,108.0,0.0,0.0,0.0,0.0,0.0,,,,,
152.0,109.0,94.0,108.0,119.0,0.0,0.0,0.0,0.0,0.0,,,,,
