tweets_t0,tweets_t1,tweets_t2,tweets_t3,tweets_t4,vaccs_t0,vaccs_t1,vaccs_t2,vaccs_t3,vaccs_t4,ili_t0,ili_t1,ili_t2,ili_t3,ili_t4
96.0,48.0,67.0,45.0,51.0,40.4257033513,57.0418830101,100.499100944,253.396404331,371.363123636,,,,,
48.0,67.0,45.0,51.0,84.0,57.0418830101,100.499100944,253.396404331,371.363123636,490.269656309,,,,,
67.0,45.0,51.0,84.0,130.0,100.499100944,253.396404331,371.363123636,490.269656309,575.103903631,,,,,
45.0,51.0,84.0,130.0,91.0,253.396404331,371.363123636,490.269656309,575.103903631,613.00819557,,,,,9.0
51.0,84.0,130.0,91.0,129.0,371.363123636,490.269656309,575.103903631,613.00819557,469.244789684,,,,9.0,11.0
84.0,130.0,91.0,129.0,78.0,490.269656309,575.103903631,613.00819557,469.244789684,477.51219841,,,9.0,11.0,-1000000000.0
130.0,91.0,129.0,78.0,125.0,575.103903631,613.00819557,469.244789684,477.51219841,337.262078337,,9.0,11.0,-1000000000.0,-1000000000.0
91.0,129.0,78.0,125.0,126.0,613.00819557,469.244789684,477.51219841,337.262078337,241.501264762,9.0,11.0,-1000000000.0,-1000000000.0,-1000000000.0
129.0,78.0,125.0,126.0,108.0,469.244789684,477.51219841,337.262078337,241.501264762,195.673522116,11.0,-1000000000.0,-1000000000.0,-1000000000.0,-1000000000.0
78.0,125.0,126.0,108.0,95.0,477.51219841,337.262078337,241.501264762,195.673522116,164.310545675,-1000000000.0,-1000000000.0,-1000000000.0,-1000000000.0,11.0
125.0,126.0,108.0,95.0,87.0,337.262078337,241.501264762,195.673522116,164.310545675,81.5702084419,-1000000000.0,-1000000000.0,-1000000000.0,11.0,26.0
126.0,108.0,95.0,87.0,67.0,241.501264762,195.673522116,164.310545675,81.5702084419,106.577854078,-1000000000.0,-1000000000.0,11.0,26.0,23.0
108.0,95.0,87.0,67.0,92.0,195.673522116,164.310545675,81.5702084419,106.577854078,83.2749261827,-1000000000.0,11.0,26.0,23.0,34.0
95.0,87.0,67.0,92.0,78.0,164.310545675,81.5702084419,106.577854078,83.2749261827,59.0183308929,11.0,26.0,23.0,34.0,22.0
87.0,67.0,92.0,78.0,83.0,81.5702084419,106.577854078,83.2749261827,59.0183308929,21.0102795845,26.0,23.0,34.0,22.0,17.0
67.0,92.0,78.0,83.0,77.0,106.577854078,83.2749261827,59.0183308929,21.0102795845,54.3306810433,23.0,34.0,22.0,17.0,41.0
92.0,78.0,83.0,77.0,143.0,83.2749261827,59.0183308929,21.0102795845,54.3306810433,84.1730112132,34.0,22.0,17.0,41.0,77.0
78.0,83.0,77.0,143.0,284.0,59.0183308929,21.0102795845,54.3306810433,84.1730112132,57.0483771587,22.0,17.0,41.0,77.0,110.0
83.0,77.0,143.0,284.0,151.0,21.0102795845,54.3306810433,84.1730112132,57.0483771587,26.5124622236,17.0,41.0,77.0,110.0,166.0
77.0,143.0,284.0,151.0,123.0,54.3306810433,84.1730112132,57.0483771587,26.5124622236,21.1526447017,41.0,77.0,110.0,166.0,-1000000000.0
143.0,284.0,151.0,123.0,126.0,84.1730112132,57.0483771587,26.5124622236,21.1526447017,9.89871795541,77.0,110.0,166.0,-1000000000.0,-1000000000.0
284.0,151.0,123.0,126.0,97.0,57.0483771587,26.5124622236,21.1526447017,9.89871795541,6.96236778017,110.0,166.0,-1000000000.0,-1000000000.0,-1000000000.0
151.0,123.0,126.0,97.0,95.0,26.5124622236,21.1526447017,9.89871795541,6.96236778017,5.36410833818,166.0,-1000000000.0,-1000000000.0,-1000000000.0,-1000000000.0
123.0,126.0,97.0,95.0,89.0,21.1526447017,9.89871795541,6.96236778017,5.36410833818,6.78054805099,-1000000000.0,-1000000000.0,-1000000000.0,-1000000000.0,72.0
126.0,97.0,95.0,89.0,59.0,9.89871795541,6.96236778017,5.36410833818,6.78054805099,1.81682431016,-1000000000.0,-1000000000.0,-1000000000.0,72.0,44.0
97.0,95.0,89.0,59.0,43.0,6.96236778017,5.36410833818,6.78054805099,1.81682431016,2.47721167232,-1000000000.0,-1000000000.0,72.0,44.0,49.0
95.0,89.0,59.0,43.0,48.0,5.36410833818,6.78054805099,1.81682431016,2.47721167232,2.42188213813,-1000000000.0,72.0,44.0,49.0,64.0
89.0,59.0,43.0,48.0,73.0,6.78054805099,1.81682431016,2.47721167232,2.42188213813,3.00370584611,72.0,44.0,49.0,64.0,83.0
59.0,43.0,48.0,73.0,50.0,1.81682431016,2.47721167232,2.42188213813,3.00370584611,1.26921772536,44.0,49.0,64.0,83.0,70.0
43.0,48.0,73.0,50.0,58.0,2.47721167232,2.42188213813,3.00370584611,1.26921772536,1.11227213347,49.0,64.0,83.0,70.0,119.0
48.0,73.0,50.0,58.0,48.0,2.42188213813,3.00370584611,1.26921772536,1.11227213347,1.7513863814,64.0,83.0,70.0,119.0,167.0
73.0,50.0,58.0,48.0,87.0,3.00370584611,1.26921772536,1.11227213347,1.7513863814,0.534050976411,83.0,70.0,119.0,167.0,143.0
50.0,58.0,48.0,87.0,41.0,1.26921772536,1.11227213347,1.7513863814,0.534050976411,1.61939739989,70.0,119.0,167.0,143.0,-1000000000.0
58.0,48.0,87.0,41.0,29.0,1.11227213347,1.7513863814,0.534050976411,1.61939739989,1.08548708608,119.0,167.0,143.0,-1000000000.0,-1000000000.0
48.0,87.0,41.0,29.0,18.0,1.7513863814,0.534050976411,1.61939739989,1.08548708608,0.245019832954,167.0,143.0,-1000000000.0,-1000000000.0,-1000000000.0
87.0,41.0,29.0,18.0,39.0,0.534050976411,1.61939739989,1.08548708608,0.245019832954,0.367538084616,143.0,-1000000000.0,-1000000000.0,-1000000000.0,19.0
41.0,29.0,18.0,39.0,24.0,1.61939739989,1.08548708608,0.245019832954,0.367538084616,0.245020428324,-1000000000.0,-1000000000.0,-1000000000.0,19.0,
29.0,18.0,39.0,24.0,17.0,1.08548708608,0.245019832954,0.367538084616,0.245020428324,0.0,-1000000000.0,-1000000000.0,19.0,,
18.0,39.0,24.0,17.0,53.0,0.245019832954,0.367538084616,0.245020428324,0.0,0.0,-1000000000.0,19.0,,,
39.0,24.0,17.0,53.0,19.0,0.367538084616,0.245020428324,0.0,0.0,0.0,19.0,,,,
24.0,17.0,53.0,19.0,30.0,0.245020428324,0.0,0.0,0.0,0.0,,,,,
17.0,53.0,19.0,30.0,16.0,0.0,0.0,0.0,0.0,0.0,,,,,
53.0,19.0,30.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0,,,,,
19.0,30.0,16.0,17.0,26.0,0.0,0.0,0.0,0.0,0.0,,,,,
30.0,16.0,17.0,26.0,16.0,0.0,0.0,0.0,0.0,0.0,,,,,
16.0,17.0,26.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,,,,,
17.0,26.0,16.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,,,,,
