tweets_t0,tweets_t1,tweets_t2,tweets_t3,tweets_t4,vaccs_t0,vaccs_t1,vaccs_t2,vaccs_t3,vaccs_t4,ili_t0,ili_t1,ili_t2,ili_t3,ili_t4
409.0,470.0,443.0,670.0,913.0,7.42905269085,39.9322889749,172.344915378,306.768421546,400.089360598,279.0,268.0,332.0,438.0,415.0
470.0,443.0,670.0,913.0,1187.0,39.9322889749,172.344915378,306.768421546,400.089360598,488.750545993,268.0,332.0,438.0,415.0,449.0
443.0,670.0,913.0,1187.0,1498.0,172.344915378,306.768421546,400.089360598,488.750545993,560.525494724,332.0,438.0,415.0,449.0,463.0
670.0,913.0,1187.0,1498.0,1479.0,306.768421546,400.089360598,488.750545993,560.525494724,554.26685636,438.0,415.0,449.0,463.0,369.0
913.0,1187.0,1498.0,1479.0,1569.0,400.089360598,488.750545993,560.525494724,554.26685636,492.689976237,415.0,449.0,463.0,369.0,377.0
1187.0,1498.0,1479.0,1569.0,1782.0,488.750545993,560.525494724,554.26685636,492.689976237,386.413669382,449.0,463.0,369.0,377.0,-1000000000.0
1498.0,1479.0,1569.0,1782.0,1829.0,560.525494724,554.26685636,492.689976237,386.413669382,280.711203001,463.0,369.0,377.0,-1000000000.0,-1000000000.0
1479.0,1569.0,1782.0,1829.0,1372.0,554.26685636,492.689976237,386.413669382,280.711203001,225.252240655,369.0,377.0,-1000000000.0,-1000000000.0,-1000000000.0
1569.0,1782.0,1829.0,1372.0,1290.0,492.689976237,386.413669382,280.711203001,225.252240655,180.157061512,377.0,-1000000000.0,-1000000000.0,-1000000000.0,-1000000000.0
1782.0,1829.0,1372.0,1290.0,1614.0,386.413669382,280.711203001,225.252240655,180.157061512,139.672678368,-1000000000.0,-1000000000.0,-1000000000.0,-1000000000.0,516.0
1829.0,1372.0,1290.0,1614.0,1176.0,280.711203001,225.252240655,180.157061512,139.672678368,59.3804397333,-1000000000.0,-1000000000.0,-1000000000.0,516.0,583.0
1372.0,1290.0,1614.0,1176.0,1283.0,225.252240655,180.157061512,139.672678368,59.3804397333,84.0179803707,-1000000000.0,-1000000000.0,516.0,583.0,693.0
1290.0,1614.0,1176.0,1283.0,1622.0,180.157061512,139.672678368,59.3804397333,84.0179803707,73.8876470039,-1000000000.0,516.0,583.0,693.0,721.0
1614.0,1176.0,1283.0,1622.0,2068.0,139.672678368,59.3804397333,84.0179803707,73.8876470039,89.7722736523,516.0,583.0,693.0,721.0,826.0
1176.0,1283.0,1622.0,2068.0,3307.0,59.3804397333,84.0179803707,73.8876470039,89.7722736523,61.5524311346,583.0,693.0,721.0,826.0,1264.0
1283.0,1622.0,2068.0,3307.0,3023.0,84.0179803707,73.8876470039,89.7722736523,61.5524311346,72.0104161334,693.0,721.0,826.0,1264.0,1375.0
1622.0,2068.0,3307.0,3023.0,3960.0,73.8876470039,89.7722736523,61.5524311346,72.0104161334,97.3107469048,721.0,826.0,1264.0,1375.0,1203.0
2068.0,3307.0,3023.0,3960.0,5953.0,89.7722736523,61.5524311346,72.0104161334,97.3107469048,72.1007490836,826.0,1264.0,1375.0,1203.0,983.0
3307.0,3023.0,3960.0,5953.0,4185.0,61.5524311346,72.0104161334,97.3107469048,72.1007490836,39.5806478219,1264.0,1375.0,1203.0,983.0,758.0
3023.0,3960.0,5953.0,4185.0,2933.0,72.0104161334,97.3107469048,72.1007490836,39.5806478219,21.6119547307,1375.0,1203.0,983.0,758.0,-1000000000.0
3960.0,5953.0,4185.0,2933.0,2211.0,97.3107469048,72.1007490836,39.5806478219,21.6119547307,14.3667799084,1203.0,983.0,758.0,-1000000000.0,-1000000000.0
5953.0,4185.0,2933.0,2211.0,1424.0,72.1007490836,39.5806478219,21.6119547307,14.3667799084,10.1842979579,983.0,758.0,-1000000000.0,-1000000000.0,-1000000000.0
4185.0,2933.0,2211.0,1424.0,1229.0,39.5806478219,21.6119547307,14.3667799084,10.1842979579,7.17768851963,758.0,-1000000000.0,-1000000000.0,-1000000000.0,-1000000000.0
2933.0,2211.0,1424.0,1229.0,1230.0,21.6119547307,14.3667799084,10.1842979579,7.17768851963,5.3298276077,-1000000000.0,-1000000000.0,-1000000000.0,-1000000000.0,613.0
2211.0,1424.0,1229.0,1230.0,907.0,14.3667799084,10.1842979579,7.17768851963,5.3298276077,3.68971984938,-1000000000.0,-1000000000.0,-1000000000.0,613.0,546.0
1424.0,1229.0,1230.0,907.0,705.0,10.1842979579,7.17768851963,5.3298276077,3.68971984938,2.96455962473,-1000000000.0,-1000000000.0,613.0,546.0,595.0
1229.0,1230.0,907.0,705.0,660.0,7.17768851963,5.3298276077,3.68971984938,2.96455962473,2.3475668267,-1000000000.0,613.0,546.0,595.0,584.0
1230.0,907.0,705.0,660.0,790.0,5.3298276077,3.68971984938,2.96455962473,2.3475668267,1.84435952171,613.0,546.0,595.0,584.0,532.0
907.0,705.0,660.0,790.0,689.0,3.68971984938,2.96455962473,2.3475668267,1.84435952171,1.38117214534,546.0,595.0,584.0,532.0,531.0
705.0,660.0,790.0,689.0,618.0,2.96455962473,2.3475668267,1.84435952171,1.38117214534,0.622833502111,595.0,584.0,532.0,531.0,529.0
660.0,790.0,689.0,618.0,648.0,2.3475668267,1.84435952171,1.38117214534,0.622833502111,0.363391003789,584.0,532.0,531.0,529.0,486.0
790.0,689.0,618.0,648.0,576.0,1.84435952171,1.38117214534,0.622833502111,0.363391003789,0.384471185984,532.0,531.0,529.0,486.0,522.0
689.0,618.0,648.0,576.0,524.0,1.38117214534,0.622833502111,0.363391003789,0.384471185984,0.266871210502,531.0,529.0,486.0,522.0,-1000000000.0
618.0,648.0,576.0,524.0,521.0,0.622833502111,0.363391003789,0.384471185984,0.266871210502,0.168429848928,529.0,486.0,522.0,-1000000000.0,-1000000000.0
648.0,576.0,524.0,521.0,370.0,0.363391003789,0.384471185984,0.266871210502,0.168429848928,0.624760212947,486.0,522.0,-1000000000.0,-1000000000.0,-1000000000.0
