country,% solid biofuels in total energy supply,0-14 yrs sex ratio,15-24 yrs sex ratio,15-49 yrs sex ratio,"2-wheeler, motorized, mortality per 100,000",50+ yrs sex ratio,adult (15+) literacy rate (%). total,age at 1st marriage (women),agricultural land (% of land area),"agriculture, value added (% of gdp)",aid received % of gni,aid received per person (current us$),air accidents affected,air accidents killed,alcohol consumption per adult 15+ (litres),annual number of aids deaths,armed forces personnel (% of labor force) wdi society war & peace,armed forces personnel,arms exports (constant 1990 us$),arms imports (constant 1990 us$),average age of billionaires,billionaires per million inhabitants,biomass stock in forest (ton),births attended by skilled health staff (% of total),"body mass index (bmi), men, kg/m2",co2 emission per person (metric tons),co2 emissions (kg per 2005 ppp $ of gdp),"car mortality per 100,000, age adjusted",central bank discount rate (annual %),"children out of school, primary",children per woman,coal consumption per person (tonnes oil equivalent),contraceptive prevalence (% of women ages 15-49),cross sectors aid (% of total aid),"crude oil production, per capita (toe)",dots all new case detection rate (%),dots new smear-positive case detection rate (%),dots population coverage (%),dots treatment success (%),dead kids per woman,debt servicing costs (% of exports and net income from abroad),"democracy, polityiv",dependency ratio,drought affected,drought killed,earthquake affected,earthquake killed,economical infrastructure aid (% of total),education aid (% of total aid),"electricity consumption, per capita (kwh)",electricity generation per person (kilowatt-hours),"energy use, per capita (toe)",epidemic affected,epidemic killed,estimated art coverage (cd4 < 350),estimated hiv prevalence% - (ages 15-49),"expenditure per student, primary (% of gdp per capita)","expenditure per student, secondary (% of gdp per capita)","expenditure per student, tertiary (% of gdp per capita)",exports of goods and services (% of gdp),"exports unit value (index, 2000=100)",external debt stocks (% of gni),"external debt stocks, total (dod, current us$)",extreme poverty (% people below $1.25 a day),extreme temp affected,extreme temp killed,female 0-4 years (%),female 10-14 years (%),female 15-19 years (%),female 20-39 years (%),female 40-59 years (%),female 5-9 years (%),female above 60 (%),female agriculture workers (%),female contributing family workers (%),female industry workers (%),female long-term unemployment (%),female salaried employees (%),female self-employed (%),female service workers (%),fixed broadband internet subscribers (per 100 people),fixed line and mobile phone subscribers (per 100 people),flood affected,flood killed,food supply (kilocalories / person & day),"foreign direct investment, net inflows (% of gdp)","foreign direct investment, net outflows (% of gdp)",forest area (sq. km),forest coverage (%),forest land (ha),forest plantation area (ha),forest products per ha (usd),forest products total (usd),gdp (constant 2000 us$),gdp pc test,"gdp per capita ppp, with projections",gdp per capita growth (annual %),"gdp per capita, pwt 7.1",gdp per capita (ppp 2005$),"gdp per employee, (constant 1990$)","gdp per working hour, (constant 1990$)",gini index,gni per capita (constant 2000 us$),"gni per capita, atlas method (current us$)","gni per capita, ppp (current international $)",general government expenditure on health as percentage of total expenditure on health,general government expenditure on health as percentage of total government expenditure,government and civil society aid (% of total aid),gross capital formation (% of gdp),growth next 10 years,hdi,hiv incidence % (ages 15-49),health aid (% of total aid),high-technology exports (% of manufactured exports),homicide 0-14 all age adj,homicide 15-29 all,homicide 30-44 all age adj,homicide 45-59 all age adj,homicide 60+ all age adj,hourly compensation (us$),"hydro production, per person (toe)",ifpri underweight children,import value index (2000 = 100),imports of goods and services (% of gdp),income share held by fourth 20%,income share held by highest 10%,income share held by highest 20%,income share held by lowest 10%,income share held by lowest 20%,income share held by second 20%,income share held by third 20%,"industry, value added (% of gdp)",infant mortality rate,"inflation, gdp deflator (annual %)",internet users (per 100 people),life expectancy at birth,lifetime risk per 1000 of maternal deaths,long term unemployment rate (%),mmr,male 0-4 years (%),male 10-14 years (%),male 15+ unemployment (%),male 15-19 years (%),male 15-24 unemployment (%),male 20-39 years (%),male 25-54 unemployment (%),male 40-59 years (%),male 5-9 years (%),male 55+ unemployment (%),male above 60 (%),male agriculture workers (%),male contributing family workers (%),male industry workers (%),male long-term unemployment (%),male salaried employees (%),male self-employed (%),male service workers (%),"malnutrition prevalence, weight for age (% of children under 5)",market capitalization of listed companies (% of gdp),mean years in school (men 25 years and older),mean years in school (women 25 years and older),mean years in school (women of reproductive age 15 to 44),median age,merchandise trade (% of gdp),military expenditure (% of gdp),mobile cellular subscriptions (per 100 people),"motor vehicles (not 2-wheelers) per 1,000 population","murder per 100,000, age adjusted",natural gas production per person (tonnes oil equivalent),natural gas production total (tonnes oil equivalent),natural gas proved reserves per person (tonnes oil equivalent),natural gas proved reserves total (tonnes oil equivalent),neonates protected at birth against neonatal tetanus (pab) (%),net barter terms of trade (2000 = 100),new smear-positive cases (per 100 000 population),"nuclear production, per person (toe)",number of child deaths,oda % gni,"oda received, total (constant 2010 us$)",oil consumption per capita (tonnes per year),oil proved reserves per person (tonnes),one-year-olds immunized with mcv (%),one-year-olds immunized with three doses of hepatitis b (hepb3) (%),one-year-olds immunized with three doses of hib (hib3) vaccine (%),one-year-olds immunized with three doses of diphtheria tetanus toxoid and pertussis (dtp3) (%),other social services aid (% of total aid),out-of-pocket expenditure as percentage of total health expenditure,pc per 100,people living with hiv,per capita government expenditure on health (ppp int. $),per capita government expenditure on health at average exchange rate (us$),per capita total expenditure on health (ppp int. $),per capita total expenditure on health at average exchange rate (us$),personal computers,physicians per 1000 people,population aged 40-59 years (total number),population density (per square km),population growth (annual %),population in urban agglomerations of more than 1 million (% of total population),population policies aid (% of total),poverty headcount ratio at $1.25 a day (ppp) (% of population),poverty headcount ratio at $2 a day (ppp) (% of population),poverty headcount ratio at national poverty line (% of population),poverty headcount ratio at rural poverty line (% of rural population),poverty headcount ratio at urban poverty line (% of urban population),prevalence of current tobacco use among adults (>=15 years) (%) both sexes,prevalence of current tobacco use among adults (>=15 years) (%) female,prevalence of current tobacco use among adults (>=15 years) (%) male,"primary completion rate, male (% of relevant age group)","primary completion rate, total (% of relevant age group)",primary forest land (ha),primary school completion (% of girls),private expenditure on health as percentage of total expenditure on health,privately owned forest (%),privately owned wooded land (%),production sector aid (% of total aid),"proportion of the population using improved drinking water sources, rural","proportion of the population using improved drinking water sources, total","proportion of the population using improved drinking water sources, urban","proportion of the population using improved sanitation facilities, rural","proportion of the population using improved sanitation facilities, total","proportion of the population using improved sanitation facilities, urban",rti 0-14 all age adj,rti 15-29 all age adj,rti 30-44 all age adj,rti 45-59 all age adj,rti 60+ all age adj,ratio of girls to boys in primary and secondary education (%),ratio of young literate females to males (% ages 15-24),reported cases,reported deaths,reported deaths per 100000,reported cases per 100000,"residential electricity consumption, per person (kwh)","residential electricity consumption, total (kwh)",road traffic total deaths,"roads, paved (% of total roads)","sbp female (mm hg), age standardized mean","sbp male (mm hg), age standardized mean","services, etc., value added (% of gdp)",storm affected,storm killed,stunt 0-4 unicef who,subsistence incomes per person,suicide 0-14 all age adj,suicide 15-29 all age adj,suicide 30-44 all age adj,suicide 45-59 all age adj,suicide 60+ all age adj,"suicide, age adjusted, per 100 000 standard population",surface area (sq. km),surviving kids per woman,tb new and relapse cases,tb new and relapse cases (per 100 000 population),"tb incidence, all forms (per 100 000 population per year)","tb incidence, all forms (per year)","tb incidence, all forms in hiv+ (per 100 000 population per year)","tb incidence, all forms in hiv+ (per year)","tb incidence, smear-positive (per 100 000 population per year)","tb incidence, smear-positive (per year)","tb mortality, all forms (per 100 000 population per year)","tb mortality, all forms (per year)","tb mortality, all forms in hiv+ (per 100 000 population per year)","tb mortality, all forms in hiv+ (per year)","tb prevalence, all forms (per 100 000 population per year)","tb prevalence, all forms (per year)","tb prevalence, all forms in hiv+ (per 100 000 population per year)","tb prevalence, all forms in hiv+ (per year)","tc female (mmol/l), age standardized mean","tc male (mmol/l), age standardized mean",tfr,tfr with projections,tax revenue (% of gdp),teen fertility,total 0-4 years (%),total 10-14 years (%),total 15+ unemployment (%),total 15-19 years (%),total 15-24 employment to population (%),total 15-24 unemployment (%),total 20-39 years (%),total 25-54 labour to population (%),total 25-54 unemployment (%),total 40-59 years (%),total 5-9 years (%),total 55+ unemployment (%),total 65+ labour to population (%),total gdp (ppp$ inflation-adjusted),"total gni, ppp (current international $)",total above 15 employment to population (%),total above 60 (%),total agriculture workers (%),total allocable aid (2007 us$),total contributing family workers (%),total expenditure on health as percentage of gdp (gross domestic product),total industry workers (%),total number of billionaires,total population,total population female,total population male,total reserves (% of total external debt),total salaried employees (%),total self-employed (%),total service workers (%),total sex ratio,trade balance (% of gdp),trade balance (current us$),"traffic mortality per 100,000, age adjusted",under 5 mortality rate,underweight children,urban population (% of total),urban population growth (annual %),water and sanitation aid (% of total aid),whole country all new case detection rate (%),whole country new smear-positive case detection rate (%),wood removal (cubic meters),working hours per week,youth (15-24) literacy rate (%). total,income per person
Andorra,,,,,,,,,38.2978723404,,,,,,15.48,,,,,,0,0,,,27.32827,7.3909545334,,,,873,,,,,,,,100,80,,,,,,,,,,,,,,,,,,9.41827,8.79499,18.09629,,,,,,,,,,,,,,,,,,,,,,13.2767563681,151.0634441,,,,,,160,33.33,16000,,,,1615237069.25,39002.4098291,39002.4098291,2.3876299098,,,,,,,31310,,69.13978446,22.00786746,,,,,,,26.4016186858,,,,,,,,,,,,,,,,,,,3.3,3.1000000395,37.6057662175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.8882497946,,0.7265129089,,,,,,,7,,3,,,,,94,79,97,98,,22.0584341,,,1712.18575829,1628.69841218,2476.41176741,2355.66023952,,,,166.427,3.3898009903,,,,,,,,32.9,29.2,36.5,,,,,30.86021554,,,,100,100,100,100,100,100,,,,,,102.628,,,,,,,,,,123.226,132.0176,,,,,85.5316005024,,,,,,5.3621788025,470,,10,14,19,14,0,0,9,6,2,2,,,18,13,0,0,5.484156,5.594193,,,,,,,,,,,,,,,,,,3037819696.77,,,,,,,7.22421912,,0,77888,,,,,,,,,,,4.1,,90.295,2.9257373985,,,,,,,39002.4098291
United Arab Emirates,0,105.577,149.154,255.171,,297.438,90.0338450216,23.0867366791,6.6746411483,1.3954133475,,,0,0,0.54,,2.0201359,51000,11000000,2199000000,51,0.7802710037,38000000,,27.61944,28.5721377056,0.4250161213,,,7095,2.149,,,,33.7345624538,15,21,20,73,0.1072110696,,-8,26.0911315056,,,,,,,13560.7584017,23680.4446921,10.6231706841,,,,,3.96859,5.5561,,67.5854343933,235.35,,,,,,11.1791730475,8.9586523737,8.8820826953,45.7886676876,13.4762633997,9.7243491577,1.9908116386,0.1000000015,,6.1999998093,,98.6999969482,1.2999999523,92.3000030518,3.1779038859,140.6090114,,,3066.25,6.0348308885,,3120,3.73,312000,312000,,,135460942808,33487,33487,-5.7430290672,62640.933315,66854.7218641,21367,,,,41470,67920,58.99864138,8.69494998,,19.2419600914,-3.2651938432,0.807,,,1.8714889021,,,,,,,,,268.1082,51.967689608,,,,,,,,55.643614808,8.4,16.5260168811,40,75.457,1,,13,5.501618123,4.4947860482,,4.854368932,,56.7062207839,,21.9345559151,4.8184106437,,1.6900395541,5.5999999046,,44.7999992371,,96.5999984741,3.2999999523,48.7999992371,,169.600138,8.8,7.5,11.1,29.472,111.806257264,4.1648324479,111.421826931,,0.9167434431,16.7801180706,43011000,2147.1107345,5503500000,,138.65,2,,618,,,4.4872042187,5204.37638401,92,92,94,94,,30.1389127,23.36,,550.14950249,607.50030395,932.47825647,1029.68524313,1050000,1.545,787000,48.676,10.6555004214,32.52608441,,,,,,,14.4,2.6,26.1,98.34466,99.51234,,100.78155,41.00135862,0,0,,100,100,100,95,97,98,,,,,,101.34,103.606499664,,,,,7358.49958568,18861394440,,,122.4202,128.0866,42.9609718445,,,,73.4364035088,,,,,,1.392950654,83600,1.9827889304,103,3,16,668,0,0,7,301,2,78,,,24,1004,0,0,5.312662,5.213687,2.149,2.149,,25.993,7.317670093,5.9226627509,,6.142927068,47.5,,53.2060695056,86,,19.2608908468,6.3631913852,,19.2000007629,136270289963,276402723850,75.1999969482,1.7865883505,4.9000000954,,,2.32022382,39.7999992371,2,4069349,1306910,2782122,,96.9000015259,3.0999999046,54.4000015259,212.878,15.6177447853,28208305775.1,,9.8,,82.262,11.1492900705,,15,21,,,95.0064510896,33487
Afghanistan,,106.663,108.533,109.218,,102.749,,17.8396832213,58.1236680312,39.4804162469,45.1830588651,94.887931976,122,122,0.02,350,0.3194047,27000,,42000000,0,0,14000000,,20.58084,0.0361160064,0.0313064576,,,,6.93,,13.6,,,50,52,81,90,2.3491554387,,,96.192973112,,,507,6,,,,,,3245,0,,,,,,30.5509882397,279.66,,,,21,21,18.7166680775,12.9179717261,10.683145687,26.7078642174,11.7074409549,15.3474985186,3.9194108186,,,,,,,,0.0007356639,5.186017046,18613,295,,3.976666167,,13500,1.33,867000,,193,167609000,,874,874,11.3131937811,775.73406402,748.112813254,,,,,250,750,11.55125748,1.47488739,,31.2692431327,62.2151425225,0.34,,,,,,,,,,,32.8,,71.2647269596,,,,,,,,25.27568655,83.2,8.4052976373,1.130397829,57.071,125,,710,18.4575389948,12.9116117851,,10.7688671813,,27.1939498976,,11.8244840082,15.2670553017,,3.5764928313,,,,,,,,,,2.4,0.3,0.6,16.49,41.8905829281,1.630821673,4.3455087972,,3.8373184204,,,,,96,121.34,40,,126832,,3204880000,,,50,,,58,,83.11894708,0.28,2900,4.1096608,2.52506627,35.57760535,21.85966567,85000,0.2,2883000,42.348,2.8770380292,11.17146958,,,,,,,,,,48.3607,34.05853,,18.74188,88.44874252,0,,,35,42,66,29,35,56,,,,,,55.451,,245881,,,980.879274829,,,,27.4594287872,124.6693,125.2112,35.2438972031,22916,260,,1.9166666667,,,,,,6.6843852997,652230,4.6408445613,21844,87,168,42180,0,0,76,18981,33,8241,0,0,267,66831,0,0,4.262364,4.127613,6.93,6.93,,135.6854,18.5839624566,12.9157314834,,10.7284227709,45.9000015259,,26.9618445215,64.6999969482,,11.7649459294,15.3070801877,,33.2000007629,24135263532,22408872945.2,54,3.7380126505,,,,6.63031254,,0,27614718,11812594,12694245,,,,,107.464,-46.0628764503,-3139071522.2,,117.7,,21.882,4.0308099935,,50,52,863000,,,874
Antigua and Barbuda,,,,,,,,,29.5454545455,2.0243783304,0.8115169092,92.8309261643,,,7.22,,,170,,,0,0,,99.9,25.39965,4.893782672,0.2637539565,,7,,2.224,,,,,,,100,,,,,,,,,,,,,,1.6325849659,,,,,,,,54.4196793561,158.02,,,,,,,,,,,,,,,,,,,,0.9378426045,147.4969593,,,2294.69,21.5949779129,,100,20.45,9000,,,,985378773.367,14579,14579,2.8495440481,15007.772469,18556.0346685,,,,,12000,17790,63.1391201,10.19645495,,35.8857473037,2.0905809185,,,,0.7803675662,,,,,,,,,,65.6482154445,,,,,,,,16.7331220517,11.7,6.310777326,34.7164029018,,,,,,,,,,,,,,,,,,,,,,,,,11.5,11.8,13.2,,57.5635760633,,102.483435817,,7.4849619865,,,,,,89.42,7,,19,,9410000,,,99,99,99,99,,32.01317113,14.85,,463.6515843,304.66974911,734.33330018,482.53721093,12100,,,189.855,1.29294052,,,,,,,,,,,,,,,36.8608799,,,,,,95,,,98,,,,,,,,,,,,,,,,125.1327,132.4058,81.2424996179,0,0,,31.9714912281,,,,,,2.1618432999,440,,6,7,6,5,0,0,3,2,1,1,,,8,6,0,0,4.91991,4.757137,2.224,2.224,,,,,,,,,,,,,,,,1223411364,1493170657.11,,,,,,4.6623993,,0,83916,,,,,,,,-16.9799147102,-173741286.561,,12.8,,30.633,0.3222483511,,,,,,,14579
Anguilla,,,,,,,,,,,,,,,,,,,,,0,0,,,,3.7817396,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,75,6000,,,,,19478.9009652,19478.9009652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.49,,,,,,2501,,,149.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,42.7168880816,,,,,,,,,,,22,3,0,0,12,1,4,1,,,34,4,0,0,,,,,,36,,,,,,,,,,,,,,264406601.702,,,,,,,,,0,13574,,,,,,,,,,,,,,,,,,,,,19478.9009652
Albania,10.4231462705,106.836,99.991,95.859,,92.916,,23.3265094757,39.3065693431,22.8,3.7366306738,101.57871284,,,6.68,,1.6339422,22500,,42000000,0,0,132000000,99.8,26.08939,1.4646593249,0.2400650934,,5,,1.919,,60.1,,,28,24,33,77,0.0821615632,3.8994707564,9,54.226277745,,,,,,,1622.58731654,,0.7022350245,,,,,,,,22.2730689607,,24.0540477187,1831623000,0.85,,,6.8109484405,9.6753660089,9.7390197327,29.3443666454,22.4061107575,8.8478676003,13.1763208148,,,,,,,,0.0086574575,59.73413712,503,3,2917.08,3.1335226184,0.0484872179,7820,28.98,794000,88000,140,110915000,4793518371.51,5369,5369,4.9311972436,4938.8053472,6101.57685254,13401,,33.03,1557.33530497,2540,6220,40.17073024,9.78465611,,23.5964352723,36.7708260145,0.721,,,4.2226996969,,,,,,,14.704782,6.6,,46.3261210816,22.55,25.87,40.93,3.24,7.78,12.16,16.58,21.5,19.8,3.4692521997,6.043890864,75.98,2.0408163265,,31,7.3977936405,10.5775470474,,10.3828682674,,27.3848150552,,23.0369889682,9.6041531473,,11.6158338741,,,,,,,,1.7,,9.8,8.8,10.3,28.532,39.1094891543,1.3148771839,48.7059647336,87.475235,7.3267013313,,,,,86,,6,,843,,370660000,,,97,98,,98,,56.50363447,1.73,,163.45531441,71.35659984,406.90152615,177.63331514,54000,,707000,109.288,0.5406081885,,,0.85,7.85,,,,22.4,4,40.5,,,85000,,59.82926976,0.9,0.9,,95,96,98,85,90,95,,,,,,,,,,,,767.164192425,2733491940,,,129.1311,133.1678,55.7,400002,2,,11.774122807,,,,,,7.6993298531,28750,1.6778384368,506,16,20,629,0,0,9,283,4,114,,,29,919,0,0,4.902183,4.900919,1.919,1.919,,16.2,7.1405596655,10.131875201,,10.0675458347,35.5,,28.4014152461,78.0999984741,,22.7404310068,9.1990993889,,15.8999996185,16868324200,19546091949.4,51.5,12.3190736571,,,,6.84053217,,0,3141800,1571107,1539472,70.0729251973,,,,97.986,-24.0530521209,-2014800000,,22.2,6.6,46.804,2.7278450678,,79,69,168000,,,5369
Armenia,0.040039137,112.112,97.898,86.509,,71.929,,22.9860343933,56.3553370787,20.8925173798,3.3844923276,55.558563501,0,0,11.35,350,3.1410848,49000,,,0,0,41000000,97.8,24.81447,1.4219608862,0.3462767666,,,15529,1.724,,53.1,,,92,60,100,72,0.0870294348,7.3836950177,5,51.3822799865,,,,,,,1504.51902988,,0.8170536805,,,5,0.1,,,,28.8092203202,,36.6040697029,1842266000,3.98,,,5.871559633,8.0122324159,9.7247706422,28.0733944954,26.6666666667,5.504587156,16.1467889908,46.4000015259,,9.8000001907,,,,43.7999992371,0.064906388,30.23692854,0,0,2269.82,4.8849668886,0.1371906707,2830,10.04,283000,10000,6,1805000,3400246575.11,3903,3903,13.7415935358,4452.0563096,4096.44011873,22746,,36.16,1139.70446924,1500,4210,30.41749167,6.78854756,,30.4663212389,42.4717977641,0.689,0.06,,0.6191794184,,,,,,,4.97236941,4.2,,43.2297051529,,,,,,,,45.298177741,20.8,3.239836251,5.252983352,73.165,1.0204081633,,34,7.8321678322,9.7202797203,,11.1888111888,,27.4825174825,,24.0559440559,7.2727272727,,12.4475524476,46.0999984741,,21.1000003815,,,,32.7999992371,1.1,0.873391539,11,10.8,11.2,31.142,56.6398494008,2.8713071657,10.3734106904,,2.3522485008,,,,,,,19,0.0761700808,1073,,193070000,,,94,91,,90,,66.61503143,9.85,3800,60.56222508,23.63018997,199.10328487,77.68618869,297000,,779000,102.884,0.1090630445,35.98163087,,3.98,23.29,,,,29.6,3.7,55.1,90.82341,91.83229,14000,92.92974,69.58250833,0,0,,89,95,99,79,89,95,,,,,,102.289,,7,0,0,0.2319677393,577.728998318,1723310140,,89.9700012207,132.7288,134.5294,33.8093048792,,,,8.5592105263,,,,,,3.7415878773,29740,1.3129705652,2206,73,72,2167,2,61,32,969,10,306,0.4,11,79,2371,1,31,4.794047,4.681662,1.4,1.4,14.3356634088,26.8,6.8278340412,8.8206468474,,10.4214309049,24.1000003815,,27.8013721006,85.5,,25.449199608,6.3051290428,,10,11966418462,12899134331.6,39.5,14.3743874551,46.2000007629,,,4.86039757,15.8999996185,0,3065954,1633510,1431415,36.3400331615,48.2000007629,,37.7999992371,87.628,-14.4204848327,-706666739.496,,23.4,4.2,64.184,-0.0410174729,,92,60,91000,,,3903
Angola,70.8166420413,99.307,98.589,97.266,,86.257,,,46.1939520334,8.4899938163,1.5592051874,25.1421840023,0,0,5.4,13000,1.6107774,118000,,40000000,0,0,10734000000,,21.80564,1.1616618518,0.31919739,,95,,6.657,,,,4.1870201568,66,84,60,72,1.9258950211,10.7031354465,-2,94.8768222073,,,,,,,128.381995187,,0.5685691103,,,4,1.9,,,72.53524,86.0175376537,305.63,44.4853473233,11822212000,,,,18.1958456973,12.9139465875,10.8605341246,27.1454005935,11.9881305638,14.646884273,4.2492581602,,,,,,,,0,10.61109222,10000,0,1915.7,-4.2564030951,0.7161120516,591040,47.41,59104000,131000,,,14643778507.4,3533,3533,16.7249987857,3055.026874,3354.6509575,1901,,,,1260,2880,74.48840912,4.38406445,,8.0728926734,84.3192181959,0.445,0.25,,,,,,,,,1.1571315,14.2,274.81494,49.4391060378,,,,,,,,72.596351177,115.9,25.9546245543,1.1433668266,48.569,83.3333333333,,650,18.6889648438,13.134765625,,11.03515625,,27.2338867188,,11.42578125,14.9047851563,,3.5766601563,,,,,,,,,,4.6,2.4,4,16.718,105.97288211,4.8348419897,9.7708529815,,48.2061882019,,,,,75,172.53,127,,151052,,476940000,,104.197275544,45,,,47,,25.51159088,0.59,170000,53.13505603,27.1210765,71.33332106,36.40979425,93396,,1946000,13.226,3.2768334008,16.64665674,,,,,,,,,,,,,,25.51159088,0,,,39,48,56,15,51,81,,,,,,,,2329316,13768,85.5409564607,14472.1033221,122.619630914,1450261000,,,130.0129,132.976,19.7516463452,,,,7.7478070175,,,,,,14.5546770096,1246700,4.3041049789,37175,231,276,44344,49.3,7931,119,19161,39,6357,13.2,2117,331,53221,24.6,3966,4.501854,4.346258,6.657,6.657,,183.0422,18.4438560597,13.022024311,,10.9459622097,68.0999984741,,27.1753520279,87.6999969482,,11.7101937658,14.7731375617,,53.5999984741,58255711193,47417675782.7,75.5999984741,3.9294740643,,,,1.95989346,,0,16489021,8425709,8191880,27.014663808,,,,97.225,29.8443648934,9142034772.27,,194.2,,53.943,5.1314201721,,80,107,5196000,,,3533
Argentina,3.3663997978,103.385,102.691,101.12,1.499,80.084,,23.263961792,49.1104217138,9.4010292271,0.0543437327,2.4864808912,10,10,10,3200,0.5585452,102000,,3000000,70,0.0252921605,5333000000,99.1,27.18941,4.0235421319,0.3792496125,8.383,,36423,2.286,2.45338986,78.3,,0.9369486028,75,67,100,53,0.1174705021,19.425060381,8,57.6104742455,,,,,,,2423.70507817,2669.46107945,1.73141309,,,63,0.4,12.02132,19.60804,,25.0679326767,153.19,70.7572042693,124979000000,4.55,,,8.2687338501,8.5423316613,8.2839337285,29.2242995389,21.001165324,8.4865987739,16.1929371232,0.6000000238,1.8999999762,11,,79,19,88,2.3957959497,81.54948333,0,0,3091.79,2.8741481642,0.7156698527,305990,12.07,33021000,1229000,4,143731000,313626005874,11063,11063,8.2181707448,9670.7097711,10833.4056098,24767,13.0100002289,49.28,7825.53280151,4480,10470,54.20979629,14.33833711,,21.4559367182,50.4119631593,0.765,0.06,,6.8266300388,0.7535442,9.074132,6.646371,5.32442,4.643963,,7.55876156,2.9,114.06973,19.1887202154,21.64,37.3,53.88,1.18,3.39,7.78,13.31,35.6090943177,15.3,8.8404898956,17.7205833696,74.826,1.8867924528,,69,8.8970781785,9.1603053435,,8.8602263754,,30.8028428534,,21.2319031324,9.1129244538,,11.9347196631,1.5,0.6999999881,32.7000007629,,71.1999969482,28.1000003815,65.5999984741,0.4,33.55884382,9.4,9.6,11.1,29.12,37.6867816365,0.9277384393,57.2796110066,,5.253773,1.0386731551,41067000,9.9929326116,395100000,,106.89,12,0.0152780168,11422,,111880000,0.5086938416,7.5215814338,99,85,94,94,,29.44202571,9.03,77000,496.47967227,217.0210268,915.84862194,400.33544055,3500000,3.21,8177000,13.912,0.8838992193,39.13817871,,4.55,9.41,,,,30,25.4,34.6,95.81857,97.84061,,99.92796,45.79020371,,,,80,96,98,77,90,91,3.136973,10.33593,9.937332,11.9534,12.11447,103.818,,259,,,0.6684362937,614.735424653,24305374180,5231,,119.254,127.4415,54.9898764552,263,11,,24.2609649123,0.6957199,11.19342,7.828206,9.676336,13.50894,7.765584,2780400,2.1725294979,9770,25,33,12897,2.5,959,18,6997,5,1861,0.5,204,39,15006,1.2,480,5.087423,5.036808,2.286,2.286,,63.8,8.5745268648,8.8456275335,,8.5693630425,40,,29.9992254267,80.3000030518,,21.1122873151,8.7939893109,,17.6000003815,427929827962,404846242890,58.0999984741,14.1049805066,1.1000000238,,1.2000000477,8.45393086,23.5,1,38681174,19736293,18995310,22.476298493,74.5,24.2999992371,75.0999984741,96.246,5.8792124613,10770329726.7,8.83947,17.1,2.3,91.382,1.1593872228,,75,67,11026000,,,11063
American Samoa,,,,,,,,,25,,,,,,,,,,,,0,0,,,,,,,,,,,,,,75,90,100,75,,,,,,,,,,,,,,,,,,,,,,107.94,,,,,,,,,,,,,,,,,,,,,,0,0,,,,180,90,18000,,,,,9617.8217259,9617.8217259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.59,5,,,,,,,,,,,,,,,,,,,,,,316.392,1.7479797471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,21.0917143112,,,,,,,200,,6,9,10,7,0,0,5,3,1,1,,,11,7,0,0,,,,,,32.5,,,,,,,,,,,,,,605557291.506,,,,,,,,,0,62962,,,,,,,,,,,,,91.283,2.300977763,,75,90,,,,9617.8217259
