word,word_feature_264,word_feature_35,word_feature_292,word_feature_20,word_feature_12,word_feature_284,word_feature_165,word_feature_266,word_feature_139,word_feature_157,word_feature_281,word_feature_56,word_feature_294,word_feature_193,word_feature_162,word_feature_119,word_feature_118,word_feature_299,word_feature_236,word_feature_231,word_feature_221,word_feature_289,word_feature_223,word_feature_222,word_feature_163,word_feature_140,word_feature_11,word_feature_108,word_feature_42,word_feature_248,word_feature_16,word_feature_125,word_feature_152,word_feature_44,word_feature_107,word_feature_258,word_feature_275,word_feature_52,word_feature_124,word_feature_72,word_feature_195,word_feature_290,word_feature_297,word_feature_121,word_feature_126,word_feature_142,word_feature_155,word_feature_237,word_feature_138,word_feature_96,word_feature_296,word_feature_128,word_feature_235,word_feature_150,word_feature_242,word_feature_175,word_feature_33,word_feature_230,word_feature_254,word_feature_257,word_feature_76,word_feature_220,word_feature_226,word_feature_159,word_feature_212,word_feature_213,word_feature_172,word_feature_26,word_feature_168,word_feature_143,word_feature_67,word_feature_280,word_feature_190,word_feature_130,word_feature_80,word_feature_27,word_feature_86,word_feature_244,word_feature_63,word_feature_94,word_feature_300,word_feature_129,word_feature_277,word_feature_205,word_feature_176,word_feature_239,word_feature_291,word_feature_188,word_feature_65,word_feature_232,word_feature_214,word_feature_7,word_feature_110,word_feature_100,word_feature_144,word_feature_4,word_feature_167,word_feature_206,word_feature_216,word_feature_171
ability,0.17698,0.043515,0.062159,0.114,-0.39743,0.022635,0.17393,0.009311,-0.28013,0.06611,0.19198,-0.1344,0.18498,0.31676,0.33731,0.033535,0.2353,0.13787,-0.17678,-0.26941,-0.33435,-0.13002,0.20348,0.30135,-0.12303,-0.051691,-0.18309,0.20621,-0.4115,-0.005104,-0.047276,-0.11098,0.2878,-0.20213,0.35614,0.20048,0.079314,-0.17659,0.12215,-0.20971,0.19767,0.0662,0.76238,-0.31418,0.13565,-0.21111,0.17923,0.24203,-0.012086,0.040704,0.11512,-0.001759,-0.033794,0.11878,0.29865,-0.092322,-0.043477,0.34893,0.36283,0.044559,-0.5446,-0.037531,0.24985,0.00321,0.42626,-0.64857,-0.2809,-0.29599,-0.042187,-0.39946,0.62705,0.48203,-0.29888,-0.34815,0.050691,-0.15758,-0.34243,-0.30516,-0.18161,0.15052,0.42464,0.29275,-0.46183,0.008585,0.40893,0.307,0.023627,0.089886,0.072492,0.066342,-0.20825,0.38266,0.34841,0.3487,0.031341,-0.015382,0.001184,0.069693,-0.23111,0.089517
accomplished,-0.11939,-0.70212,-0.40691,0.29948,0.007565,0.18757,0.12181,0.15909,-0.27098,-0.17135,0.034012,-0.025162,-0.29928,-0.40455,-0.19223,0.39886,-0.31176,-0.2317,-0.18042,0.3833,0.17434,-0.2153,-0.21053,0.21915,-0.70886,0.16466,0.067617,0.69312,0.41542,0.15303,0.26705,0.16776,0.009577,-0.29953,-0.20845,-0.35382,0.13125,0.31122,0.39103,0.091806,0.24261,-0.10705,0.30232,-0.043134,-0.35329,0.16478,0.073025,0.66524,0.14026,-0.26184,-0.096772,-0.45405,-0.054707,-0.30792,-0.14604,-0.54222,-0.27902,0.034395,0.18575,-0.35181,-0.22373,-0.31405,-0.067944,-0.17961,-0.33105,-0.25749,0.15464,-0.045033,-0.021135,-0.21433,-0.08239,-0.30467,-0.34231,-0.018828,-0.31075,0.47214,-0.003174,-0.36677,0.25305,0.14988,-0.21295,0.056029,-0.060098,0.34809,0.34368,0.36037,0.075995,0.17907,-0.19406,0.41672,-0.11254,0.55969,-0.14685,0.54239,0.000897,-0.1502,0.046792,-0.16092,0.16328,-0.22188
angry,-0.17101,-0.19676,-0.24195,0.069393,0.093892,-0.26189,0.004182,-0.10785,0.30907,0.1734,0.070579,0.27304,0.1399,0.38807,-0.034515,-0.14622,-0.15737,0.1016,-0.18091,-0.62083,0.3978,-0.1007,0.27294,-0.40103,-0.1642,0.23079,0.046562,-0.29183,-0.12373,-0.35398,0.55318,0.15865,0.37314,0.3937,-0.32333,0.37836,-0.12822,-0.42147,0.193,0.41054,0.3344,0.25698,0.30951,0.27381,-0.48982,0.080352,-0.069918,0.11858,-0.24242,0.35862,-0.29854,-0.07933,-0.40027,-0.051662,0.23396,-0.072982,0.34527,0.30009,0.33345,-0.23354,-0.019007,0.68439,0.43701,0.050133,0.23114,-0.12391,-0.47368,-0.27301,0.29881,0.044675,0.1532,0.10416,0.64218,0.065581,0.19968,-0.16307,0.095813,0.12688,-0.47715,0.29987,0.24776,0.22682,-0.12476,-0.062041,0.17776,-0.6963,0.021549,-0.23108,-0.85855,-0.07767,-0.20676,-0.02826,-0.074861,0.36737,-0.052736,-0.18099,-0.19128,-0.17229,-0.11369,0.86737
apartment,0.75919,0.59394,-0.072318,0.51234,0.22696,0.036519,-0.17374,0.097078,-0.7446,0.38578,0.49473,0.23849,-0.4948,0.5504,0.18305,-0.041359,0.63392,-0.001568,-0.40158,0.17193,0.34328,-0.48413,0.059876,-0.018939,-0.1123,-0.59385,-0.14547,0.19951,0.24217,-0.24553,0.11788,0.10966,-0.54759,0.57892,-0.080836,0.062092,0.47376,-0.32101,0.20248,-0.15663,0.22445,-0.050431,0.039093,0.39057,0.085041,-0.66894,0.24279,-0.18434,-0.054386,0.36334,-0.57354,0.10467,0.42233,0.66233,0.033784,-0.15112,-0.16494,-0.25525,0.018732,-0.073407,0.062923,0.38167,0.13837,-0.63601,-0.47999,-0.38201,-0.24862,0.23775,0.73499,0.037552,-0.58611,-0.3385,-0.45322,-0.57641,-1.2438,-0.009144,-0.55329,-0.33328,0.13666,0.11259,0.37937,0.15869,0.20298,-0.33051,0.88347,-0.52142,0.073383,0.26018,0.05507,-0.27489,0.33641,-0.33585,0.13243,-0.63098,0.22149,-0.32073,0.097151,-0.18216,0.22901,-0.26636
applause,-0.016684,0.11239,-0.51063,-0.14706,-0.06845,-0.075879,-0.48665,-0.052054,-0.019204,0.12336,0.32917,0.067904,-0.31245,-0.58288,0.84217,-0.081078,0.18815,0.19937,-0.19327,-0.1554,-0.28556,-0.043389,0.045325,0.54058,0.057246,0.029432,-0.40832,-0.14023,0.23057,-0.061547,0.47147,-0.15241,-0.21658,0.099852,-0.70022,0.18815,-0.017791,0.090781,0.17506,0.47839,0.13081,0.12986,-0.16267,0.28246,-0.50966,0.18223,0.19565,0.264,0.46343,0.58844,-0.27428,0.067898,-0.13112,0.28938,-0.071338,-0.005084,0.072289,0.25767,-0.56085,-0.17048,1.2905,-0.48133,-0.11922,0.45203,-0.27909,0.04851,-0.66675,0.50092,-0.28309,0.34005,0.16096,-0.28477,0.42926,0.38332,0.26279,-0.56078,1.0992,0.2562,-0.69068,0.28298,0.36827,-0.17063,0.005624,-0.52282,-0.61519,0.37093,0.33057,0.21747,-0.16312,-0.049377,0.55484,0.32008,0.27281,-0.14553,-0.43626,-0.11242,-0.026544,0.56574,-0.012993,0.23662
argument,0.34529,0.021067,-0.035309,-0.17387,0.19818,0.30507,0.11527,-0.22544,-0.73853,-0.31575,0.57129,-0.17781,-0.046703,0.080358,0.12429,-0.10491,0.091268,0.49959,-0.27687,0.21572,-0.094157,0.25131,0.039304,-0.31874,-0.1794,-0.59561,0.067723,0.001565,-0.97476,0.19955,0.34352,0.19572,-0.67347,0.078864,0.033366,0.31001,0.26613,0.079384,-0.3279,-0.072788,0.25359,-0.21722,0.082573,-0.30678,0.22732,0.039104,0.8491,0.21982,0.021316,0.47271,-0.076335,-0.12035,0.052925,-0.02668,-0.10283,-0.041568,-0.15593,0.087344,-0.38577,0.000786,-0.060053,-0.1246,0.092059,-0.36523,-0.16968,-0.48298,-0.19422,-0.46151,0.55792,-0.29736,-0.11352,0.25373,-0.31726,0.17413,0.26232,0.21539,0.027253,0.12377,-0.24248,0.27096,-0.34047,0.091034,0.20785,-0.047147,-0.032914,-0.23208,0.11346,-0.16629,-0.22506,-0.017323,-0.35539,0.192,-0.27846,0.30218,-0.47446,-0.19435,0.001352,0.59806,0.10093,0.11172
argumentatively,-0.082547,-0.58989,0.73521,0.037503,-0.55108,0.29049,-0.40773,0.00772,-0.12269,-0.39602,0.11044,-0.15787,0.18115,-0.055709,-0.033202,0.054253,-0.002649,-0.003504,-0.10813,0.15672,0.4275,0.066168,-0.24637,-0.035054,-0.3111,0.056693,0.18196,0.47701,-0.34839,-0.20815,0.60694,0.10616,-0.045902,0.28243,0.028048,0.87622,0.002417,-0.20524,-0.33756,0.057303,0.036748,0.29833,0.53283,-0.32674,0.45982,-0.024935,0.082282,0.043587,0.54757,0.42503,0.18303,0.16903,-0.217,0.53944,0.030393,-0.17313,0.19624,0.033282,0.63338,-0.20806,0.065752,-0.36322,-0.22942,-0.080722,0.096814,0.16516,0.61665,-0.036954,0.13027,-0.06851,0.13882,-0.22709,-0.11739,-0.16513,0.38139,0.20376,-0.16157,-0.062267,-0.089906,-0.3511,0.22605,0.44997,-0.30382,-0.26869,-0.16534,-0.26343,0.059035,0.17213,-0.065942,0.067686,-0.64821,0.81641,-0.20737,-0.36517,-0.40564,-0.51192,-0.26759,-0.34611,-0.032848,0.045912
art,0.26819,-0.43907,0.12337,0.045339,-0.052286,0.18934,-0.01178,0.27219,-0.13515,-0.41877,-0.047787,0.34331,-0.56806,-0.19073,-0.13861,0.31181,0.24768,0.72189,-0.10667,0.35052,-0.38593,-0.010525,-1.2714,0.35464,-0.025895,0.3521,0.23624,0.50232,0.20617,-0.2053,0.17377,0.63759,-0.44709,0.20073,-0.71465,-0.27713,0.12203,0.16936,0.15133,-0.3379,0.20373,0.20542,-0.5867,0.13841,-0.32496,-0.10252,0.93412,-0.60043,0.42119,0.25261,0.29706,0.47295,0.22945,-0.42951,-0.52471,0.058762,0.39502,0.5564,0.66254,-0.10471,-0.13566,-0.040467,-0.39878,0.28743,0.26479,-0.519,0.52794,-0.041696,0.24213,-0.58042,-0.002236,0.17318,-0.3192,-0.54993,0.05511,0.21429,0.22029,-0.60366,0.48663,-0.043807,-0.26253,-0.15933,0.015688,-0.07211,0.19232,0.20402,0.031795,-0.20559,0.25032,0.16464,-0.11647,-0.18869,-0.03689,-0.20019,0.29228,-0.15734,-0.17994,0.67018,-0.74804,-0.0376
attitude,-0.21086,0.20123,-0.12438,0.19949,0.074172,0.43108,-0.50386,-0.075452,-0.21706,-0.37885,0.13769,0.20589,-0.27467,-0.51665,-0.017781,0.11054,-0.1088,-0.35386,-0.34412,-0.66861,0.099907,-0.01563,-0.080059,0.19486,0.13322,0.13007,-0.29603,-0.10323,-0.80674,-0.28785,-0.28087,-0.30042,0.13249,-0.33662,0.16938,-0.33968,-0.55523,0.10927,0.58807,0.051724,0.070444,-0.22338,0.25844,0.69388,0.19681,-0.22217,-0.2968,0.58342,0.034881,0.15749,0.57226,0.18729,-0.21925,-0.26315,-0.15361,-0.14535,0.3658,0.077836,0.44851,0.12667,-0.50275,0.004793,0.25074,-0.19121,-0.039683,-0.14698,-0.27149,-0.38235,0.063454,-0.24435,0.12104,-0.32791,0.18306,0.18964,-0.35844,-0.24601,0.2916,-0.44754,0.099219,0.038136,0.57778,0.01589,-0.3358,0.35708,0.37804,-0.058407,0.28852,0.19304,0.3023,-0.11529,-0.43983,0.56344,-0.28143,0.006567,0.36979,-0.25907,0.040738,-0.56622,-0.090968,0.5927
bag,-0.18937,0.43894,0.26403,-0.06092,-0.1108,0.49965,-0.15084,-0.20565,0.054267,0.21784,-0.47191,-0.044721,-0.26369,-0.031523,-0.23501,-0.32138,0.003941,-0.12575,0.4711,0.30421,0.67158,0.58474,-0.17457,0.15811,-0.26465,0.002531,-0.38113,0.032318,-0.22253,-0.32918,-0.91225,-0.078612,-0.94558,-0.80494,0.22377,-0.20316,-0.13525,-0.24172,0.31906,-0.11568,0.045159,-0.1187,0.33957,-0.40786,-0.32486,0.087351,-0.53061,-0.39465,0.46304,0.35324,-0.34746,0.56311,0.042262,0.33396,-0.43474,0.42981,1.0935,0.27903,0.23441,-0.10014,0.069549,0.56104,-0.53717,-0.12289,-0.2265,-0.1333,-0.34924,-1.011,-0.08315,-0.56856,-0.08265,0.18275,-0.27751,0.16676,-0.074768,0.20302,-0.41429,0.41714,0.25916,-0.40787,0.42589,0.077996,-0.37207,-0.65686,0.64092,-0.38096,0.34942,-0.019184,-0.30715,0.014982,-0.040575,-0.37975,-0.35072,0.47676,0.46856,0.030067,0.54514,0.15036,-0.10411,-0.49099
