tweets_t0,tweets_t1,tweets_t2,tweets_t3,tweets_t4,vaccs_t0,vaccs_t1,vaccs_t2,vaccs_t3,vaccs_t4,ili_t0,ili_t1,ili_t2,ili_t3,ili_t4
85.0,107.0,118.0,163.0,258.0,3.21906753877,25.0775513582,111.145652858,234.806114983,373.152190845,5.0,10.0,15.0,5.0,17.0
107.0,118.0,163.0,258.0,210.0,25.0775513582,111.145652858,234.806114983,373.152190845,467.903845243,10.0,15.0,5.0,17.0,18.0
118.0,163.0,258.0,210.0,352.0,111.145652858,234.806114983,373.152190845,467.903845243,603.840139412,15.0,5.0,17.0,18.0,30.0
163.0,258.0,210.0,352.0,351.0,234.806114983,373.152190845,467.903845243,603.840139412,657.233763084,5.0,17.0,18.0,30.0,31.0
258.0,210.0,352.0,351.0,385.0,373.152190845,467.903845243,603.840139412,657.233763084,580.829035892,17.0,18.0,30.0,31.0,21.0
210.0,352.0,351.0,385.0,341.0,467.903845243,603.840139412,657.233763084,580.829035892,518.992211451,18.0,30.0,31.0,21.0,-1000000000.0
352.0,351.0,385.0,341.0,468.0,603.840139412,657.233763084,580.829035892,518.992211451,397.446152148,30.0,31.0,21.0,-1000000000.0,-1000000000.0
351.0,385.0,341.0,468.0,408.0,657.233763084,580.829035892,518.992211451,397.446152148,314.453606305,31.0,21.0,-1000000000.0,-1000000000.0,-1000000000.0
385.0,341.0,468.0,408.0,354.0,580.829035892,518.992211451,397.446152148,314.453606305,241.072694709,21.0,-1000000000.0,-1000000000.0,-1000000000.0,-1000000000.0
341.0,468.0,408.0,354.0,468.0,518.992211451,397.446152148,314.453606305,241.072694709,185.954192209,-1000000000.0,-1000000000.0,-1000000000.0,-1000000000.0,54.0
468.0,408.0,354.0,468.0,320.0,397.446152148,314.453606305,241.072694709,185.954192209,77.7219634893,-1000000000.0,-1000000000.0,-1000000000.0,54.0,85.0
408.0,354.0,468.0,320.0,324.0,314.453606305,241.072694709,185.954192209,77.7219634893,106.617726714,-1000000000.0,-1000000000.0,54.0,85.0,112.0
354.0,468.0,320.0,324.0,430.0,241.072694709,185.954192209,77.7219634893,106.617726714,81.055543122,-1000000000.0,54.0,85.0,112.0,180.0
468.0,320.0,324.0,430.0,530.0,185.954192209,77.7219634893,106.617726714,81.055543122,63.1170072304,54.0,85.0,112.0,180.0,30.0
320.0,324.0,430.0,530.0,576.0,77.7219634893,106.617726714,81.055543122,63.1170072304,34.0479152792,85.0,112.0,180.0,30.0,130.0
324.0,430.0,530.0,576.0,639.0,106.617726714,81.055543122,63.1170072304,34.0479152792,65.0265434212,112.0,180.0,30.0,130.0,160.0
430.0,530.0,576.0,639.0,985.0,81.055543122,63.1170072304,34.0479152792,65.0265434212,74.5220187865,180.0,30.0,130.0,160.0,665.0
530.0,576.0,639.0,985.0,1327.0,63.1170072304,34.0479152792,65.0265434212,74.5220187865,94.944008761,30.0,130.0,160.0,665.0,640.0
576.0,639.0,985.0,1327.0,1237.0,34.0479152792,65.0265434212,74.5220187865,94.944008761,50.9171824854,130.0,160.0,665.0,640.0,534.0
639.0,985.0,1327.0,1237.0,876.0,65.0265434212,74.5220187865,94.944008761,50.9171824854,24.412663556,160.0,665.0,640.0,534.0,-1000000000.0
985.0,1327.0,1237.0,876.0,605.0,74.5220187865,94.944008761,50.9171824854,24.412663556,12.3776898275,665.0,640.0,534.0,-1000000000.0,-1000000000.0
1327.0,1237.0,876.0,605.0,558.0,94.944008761,50.9171824854,24.412663556,12.3776898275,6.7190586852,640.0,534.0,-1000000000.0,-1000000000.0,-1000000000.0
1237.0,876.0,605.0,558.0,362.0,50.9171824854,24.412663556,12.3776898275,6.7190586852,5.16404071333,534.0,-1000000000.0,-1000000000.0,-1000000000.0,-1000000000.0
876.0,605.0,558.0,362.0,314.0,24.412663556,12.3776898275,6.7190586852,5.16404071333,3.36020656761,-1000000000.0,-1000000000.0,-1000000000.0,-1000000000.0,157.0
605.0,558.0,362.0,314.0,218.0,12.3776898275,6.7190586852,5.16404071333,3.36020656761,2.23356601629,-1000000000.0,-1000000000.0,-1000000000.0,157.0,0.0
558.0,362.0,314.0,218.0,219.0,6.7190586852,5.16404071333,3.36020656761,2.23356601629,1.91032805252,-1000000000.0,-1000000000.0,157.0,0.0,0.0
362.0,314.0,218.0,219.0,163.0,5.16404071333,3.36020656761,2.23356601629,1.91032805252,1.46098042915,-1000000000.0,157.0,0.0,0.0,0.0
314.0,218.0,219.0,163.0,160.0,3.36020656761,2.23356601629,1.91032805252,1.46098042915,0.998356770575,157.0,0.0,0.0,0.0,117.0
218.0,219.0,163.0,160.0,143.0,2.23356601629,1.91032805252,1.46098042915,0.998356770575,0.469276215865,0.0,0.0,0.0,117.0,0.0
219.0,163.0,160.0,143.0,134.0,1.91032805252,1.46098042915,0.998356770575,0.469276215865,0.323488605417,0.0,0.0,117.0,0.0,32.0
163.0,160.0,143.0,134.0,164.0,1.46098042915,0.998356770575,0.469276215865,0.323488605417,0.212261454472,0.0,117.0,0.0,32.0,0.0
160.0,143.0,134.0,164.0,90.0,0.998356770575,0.469276215865,0.323488605417,0.212261454472,0.21098006754,117.0,0.0,32.0,0.0,18.0
143.0,134.0,164.0,90.0,97.0,0.469276215865,0.323488605417,0.212261454472,0.21098006754,0.100079090266,0.0,32.0,0.0,18.0,-1000000000.0
134.0,164.0,90.0,97.0,77.0,0.323488605417,0.212261454472,0.21098006754,0.100079090266,0.00842180244987,32.0,0.0,18.0,-1000000000.0,-1000000000.0
164.0,90.0,97.0,77.0,95.0,0.212261454472,0.21098006754,0.100079090266,0.00842180244987,0.0456415893868,0.0,18.0,-1000000000.0,-1000000000.0,-1000000000.0
90.0,97.0,77.0,95.0,66.0,0.21098006754,0.100079090266,0.00842180244987,0.0456415893868,0.0903892829751,18.0,-1000000000.0,-1000000000.0,-1000000000.0,0.0
97.0,77.0,95.0,66.0,72.0,0.100079090266,0.00842180244987,0.0456415893868,0.0903892829751,0.0542142903626,-1000000000.0,-1000000000.0,-1000000000.0,0.0,14.0
77.0,95.0,66.0,72.0,50.0,0.00842180244987,0.0456415893868,0.0903892829751,0.0542142903626,0.0,-1000000000.0,-1000000000.0,0.0,14.0,9.0
95.0,66.0,72.0,50.0,276.0,0.0456415893868,0.0903892829751,0.0542142903626,0.0,0.0,-1000000000.0,0.0,14.0,9.0,10.0
66.0,72.0,50.0,276.0,78.0,0.0903892829751,0.0542142903626,0.0,0.0,0.0,0.0,14.0,9.0,10.0,7.0
72.0,50.0,276.0,78.0,53.0,0.0542142903626,0.0,0.0,0.0,0.0,14.0,9.0,10.0,7.0,5.0
50.0,276.0,78.0,53.0,80.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,7.0,5.0,5.0
276.0,78.0,53.0,80.0,98.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,5.0,5.0,5.0
78.0,53.0,80.0,98.0,538.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,5.0,5.0,4.0
53.0,80.0,98.0,538.0,122.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,4.0,3.0
80.0,98.0,538.0,122.0,63.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,3.0,3.0
98.0,538.0,122.0,63.0,145.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,3.0,11.0
